2026-03-27 01:48:01,993 | INFO | __main__ | Aplicação iniciada
2026-03-27 01:48:01,994 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 01:48:03,507 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:48:03,507 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:48:03,510 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:48:03,511 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:48:05,635 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:48:05,638 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:48:05,639 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:48:09,564 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:48:09,591 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:48:09,631 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:48:22,713 | INFO | __main__ | Aplicação iniciada
2026-03-27 01:48:22,714 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 01:48:25,405 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:48:25,406 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:48:25,409 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:48:25,409 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:48:26,589 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:48:26,593 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:48:26,593 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:48:30,190 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:48:30,195 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:48:30,243 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:50:12,193 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:50:12,196 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:50:12,196 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:52:35,985 | INFO | __main__ | Aplicação iniciada
2026-03-27 01:52:35,986 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 01:52:37,457 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:52:37,457 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:52:37,461 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:52:37,461 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:52:38,431 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:52:38,435 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:52:38,435 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:52:42,121 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:52:42,125 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:52:42,169 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:52:59,837 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:52:59,840 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:52:59,840 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:53:31,145 | INFO | __main__ | Aplicação iniciada
2026-03-27 01:53:31,147 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 01:53:33,100 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:53:33,100 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:53:33,104 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:53:33,104 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:55:41,895 | INFO | __main__ | Aplicação iniciada
2026-03-27 01:55:41,898 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 01:55:42,797 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:55:42,797 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:55:42,801 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:55:42,802 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:56:41,059 | INFO | __main__ | Aplicação iniciada
2026-03-27 01:56:41,061 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 01:56:43,064 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:56:43,064 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:56:43,068 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:56:43,068 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:56:44,629 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:56:44,634 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:56:44,634 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:56:49,424 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:56:49,429 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:56:49,471 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:56:50,423 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:56:50,428 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:56:50,428 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:56:50,903 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:56:50,907 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:56:50,907 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:56:51,063 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:56:51,067 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:56:51,068 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:56:52,088 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:56:52,093 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:56:52,094 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:56:55,196 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:56:55,201 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:56:55,201 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:57:38,909 | INFO | __main__ | Aplicação iniciada
2026-03-27 01:57:38,911 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 01:57:41,102 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:57:41,128 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:57:41,139 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:57:41,140 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
